address,longitude,latitude,fuel,delivery,open_24_hr,mobile_checkout,zip
"657 COURT ST, CLEARWATER FL 33756",-82.797874,27.961953,1,0,1,0,33756
"800 MISSOURI AVE, CLEARWATER FL 33756",-82.78819,27.95678,0,1,1,0,33756
"100 PALM HARBOR BLVD, PALM HARBOR FL 34683-5306",-82.785185,28.064991,1,0,1,0,34683
"801 COUNTY ROAD 1, DUNEDIN FL 34698",-82.76351,28.02003,1,1,1,1,34698
"3398 TAMPA ROAD, PALM HARBOR FL 34684-3425",-82.72438,28.06734,1,1,1,0,34684
"2198 MAIN ST, DUNEDIN FL 34698",-82.7501,28.01946,1,1,1,0,34698
"2789 STATE ROAD 580, CLEARWATER FL 33761",-82.71036,28.02189,1,1,1,0,33761
"1898 NORTH HIGHLAND AVE, CLEARWATER FL 33755",-82.775862,27.989597,0,0,1,0,33755
"1971 SUNSET POINT RD, CLEARWATER FL 33765",-82.75527,27.98953,1,0,0,0,33765
"1725 DREW ST, CLEARWATER FL 33755-6215",-82.76567,27.96768,1,0,1,0,33755
"205 N BELCHER RD, CLEARWATER FL 33765",-82.74578,27.96839,1,1,1,0,33765
"2030 GULF TO BAY BLVD, CLEARWATER FL 33755",-82.75309,27.9609,1,0,1,0,33755
"403 CLEARWATER-LARGO RD, LARGO FL 33770-2345",-82.796768,27.920631,0,0,1,0,33770
"1200 EAST BAY DR, LARGO FL 33771",-82.77408,27.91679,1,0,0,0,33771
"8890 ULMERTON RD, LARGO FL 33771",-82.76167,27.8944,1,0,1,1,33771
"11505 WALSINGHAM ROAD, LARGO FL 33778-2528",-82.79792,27.88015,1,1,1,0,33778
"6270 150TH AVE N, CLEARWATER FL 33760",-82.721419,27.908417,1,0,1,0,33760
"6333 ULMERTON RD N, LARGO FL 33771",-82.723846,27.894059,1,0,1,0,33771
"10 MISSOURI AVE, LARGO FL 33770",-82.78761,27.91723,1,0,1,0,33770
"5860 ROOSEVELT BLVD, CLEARWATER FL 33760-0000",-82.71388,27.91608,1,1,1,0,33760
"11787 66TH STREET, LARGO FL 33773",-82.72834,27.87881,1,1,1,0,33773
"11775 131ST ST NORTH, LARGO FL 33774-4120",-82.820368,27.879871,1,0,1,0,33774
"20073 US HWY 19 NORTH, CLEARWATER FL 33764",-82.72927,27.95491,1,0,1,0,33764
"3130 GULF-TO-BAY BLVD, CLEARWATER FL 33759",-82.70716,27.96069,1,0,0,0,33759
